Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SLP1_X;SLP1_Y;SLP2_X;SLP2_Y;SLP3_X;SLP3_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;CHGU_X;CHGU_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
100;-458.6;105.0;0.0;0.0;835.3;24.0;175.0;285.0;-0.8;105.5;-35.0;140.0;-46.4;11.7;18.9;72.6;64.0;-5.0;-458.6;105.0;-46.3;-52.6;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
110;-459.3;115.0;0.0;0.0;835.3;24.0;175.0;285.0;2.7;107.4;-35.0;140.0;-45.5;14.8;21.3;74.0;64.0;-5.0;-459.3;115.0;-49.6;-49.5;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
120;-459.7;125.0;0.0;0.0;835.3;24.0;175.0;285.0;6.3;109.3;-35.0;140.0;-44.5;17.8;23.8;75.3;64.0;-5.0;-459.7;125.0;-52.8;-46.0;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
130;-460.0;135.0;0.0;0.0;835.3;24.0;175.0;285.0;10.1;111.2;-35.0;140.0;-43.2;20.7;26.5;76.6;64.0;-5.0;-460.0;135.0;-55.8;-42.4;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
140;-460.0;145.0;0.0;0.0;835.3;24.0;175.0;285.0;14.0;112.9;-35.0;140.0;-41.7;23.6;29.3;77.8;64.0;-5.0;-460.0;145.0;-58.5;-38.5;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
150;-459.7;155.0;0.0;0.0;835.3;24.0;175.0;285.0;18.2;114.6;-35.0;140.0;-40.0;26.4;32.2;79.0;64.0;-5.0;-459.7;155.0;-61.0;-34.4;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
160;-459.3;165.0;0.0;0.0;835.3;24.0;175.0;285.0;22.6;116.2;-35.0;140.0;-38.0;29.1;35.3;80.1;64.0;-5.0;-459.3;165.0;-63.3;-30.1;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
170;-458.6;175.0;0.0;0.0;835.3;24.0;175.0;285.0;27.3;117.7;-35.0;140.0;-35.8;31.8;38.6;81.1;64.0;-5.0;-458.6;175.0;-65.3;-25.4;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
180;-457.6;185.0;0.0;0.0;835.3;24.0;175.0;285.0;32.3;119.1;-35.0;140.0;-33.4;34.3;42.1;82.1;64.0;-5.0;-457.6;185.0;-67.0;-20.6;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
190;-456.4;195.0;0.0;0.0;835.3;24.0;175.0;285.0;37.6;120.3;-35.0;140.0;-30.7;36.8;45.8;82.9;64.0;-5.0;-456.4;195.0;-68.4;-15.4;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;
200;-455.0;205.0;0.0;0.0;835.3;24.0;175.0;285.0;43.3;121.4;-35.0;140.0;-27.6;39.1;49.8;83.7;64.0;-5.0;-455.0;205.0;-69.4;-9.8;0.0;0.0;-36.5;110.5;-38.0;600.0;-38.0;750.0;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
SLP1 = Shock link connecting pivot
SLP2 = Shock link inner pivot
SLP3 = Shock link main pivot
SWL1 = Swingarm/Link pivot
L1L2 = Rear bar/Rocker pivot
FRL2 = Pivot Frame - Link 2
CHGU = Chain guide roller center
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
